adm3_name,ACS_Code,Mean annual hot days,Forest fire risk,Annual Dry Spell Length
Bsifrine,22691,27.2460256641261,72.5,0.344570355297739
Mtain,22711,25.2649228705567,46.4,0.0127431254191818
Aain Ez-Zeitouneh,22714,25.3813097903384,94.0,0.0
Mchikha,22717,26.6442935369051,72.5,0.189195147469922
Khillet El-Mtain,22722,26.1904761904762,94.0,0.19047619047619
Bnabil,22724,25.4484875242937,94.0,0.0416331043501625
Aain es-Sofsaf El-Matn,22727,25.5043600869733,94.0,0.0
Ouata El-Mrouj,22731,25.3988560326777,94.0,0.0
Mrouj,22733,26.0238095238095,94.0,0.0
Marjaba,22734,25.5970713402093,94.0,0.0
Aain Es-Sindiane,22737,25.4803740815219,94.0,0.00911950706338725
Zaraaoun,22741,27.2619047619048,94.0,0.0
Qaaqour,22744,26.3015873015873,94.0,0.126984126984127
Khinchara,22747,25.3428571428571,94.0,0.019047619047619
Aintoura El-Matn,22751,24.8095238095238,72.5,0.0
Choueir,22754,25.6190476190476,94.0,0.0
Bteghrine,22757,25.2448979591837,94.0,0.0272108843537415
Douar El-Matn,22761,27.2797076095575,94.0,0.0
Chouaya El-Matn,22764,24.9285714285714,94.0,0.0
Aayroun,22767,26.8874728358637,94.0,0.0
Zighrine El-Matn,22771,25.2942508872734,94.0,0.0
Majdel tarchich,22774,24.9226190476191,72.5,0.0
Aain El-Qabu,22777,24.7301587301587,94.0,0.0317460317460317
Kfar Aaqab,22781,25.1547619047619,94.0,0.0238095238095238
Mar Moussa Ed-Douar,22784,27.031746031746,94.0,0.0
Machraah El-Matn,22787,25.7056558224783,94.0,0.0
Ouadi El-Karm El-Matn,22791,24.8095238095238,84.0,0.0
Zabbougha,22794,24.5952380952381,84.0,0.0476190476190476
Baskinta,22797,24.3958333333333,84.0,0.000992063492063492
Kfar Tay El-Matn,22799,24.4920634920635,84.0,0.0
Litige,23001,28.8095238095238,83.0,0.0317460317460317
Litige,23002,29.2222222222222,83.0,0.444444444444444
Litige,23003,26.2297273840286,83.0,2.47662283724091
Litige,23004,26.5238095238095,53.0,0.0
Litige,23005,19.3809523809524,93.0,0.666666666666667
Litige,23006,19.0615181065657,93.0,0.790860575325
Litige,23007,25.7490688450349,83.5,1.28327272874886
Damour,23111,20.7269841269841,83.0,2.25714285714286
Naameh,23141,21.5238095238095,83.0,2.29761904761905
Mechref,23171,20.7539682539683,83.0,1.78571428571429
Chhim,23211,19.987012987013,93.0,0.497835497835498
Mazboud,23215,19.2857142857143,93.0,0.638095238095238
Dalhoun,23219,18.7047619047619,93.0,0.714285714285714
Chammis Ech-Chouf,23223,18.4285714285714,93.0,0.73015873015873
Daraiya Ech-Chouf,23227,21.9107142857143,93.0,0.488095238095238
Ketermaya,23231,17.4952380952381,93.0,0.619047619047619
Maaniyeh,23235,17.547619047619,93.0,0.595238095238095
Ouadi Abou Youssef,23237,21.9633626173443,93.0,1.37121024856848
Aanout,23239,22.0,93.0,0.415584415584416
Sibline,23243,16.7678571428571,93.0,0.696428571428571
Bourjein,23247,20.1349206349206,93.0,0.722222222222222
Barja,23251,17.5502645502646,93.0,0.783068783068783
Bkechtine Ouel Mcheiaa,23253,21.9362452188137,93.0,0.840644497459849
Baassir,23255,18.2678571428571,93.0,0.851190476190476
Dibbiyeh,23259,20.3726708074534,93.0,0.975155279503106
Benouati Ech-Chouf,23263,22.678959744573,93.0,1.6874064949461
Jiyeh,23267,17.8928571428571,93.0,1.11111111111111
Jadra,23271,16.6857142857143,93.0,0.876190476190476
Chmaarine,23275,23.2363173864692,93.0,1.4814895856445
Dahr Ech-Chouf,23279,18.8730158730159,93.0,0.936507936507936
Aalmane Ech-Chouf,23311,16.2857142857143,71.5,0.761904761904762
Jmailiyeh,23316,16.4285714285714,93.0,0.714285714285714
Rmeilet Ech-Chouf,23321,16.3492063492063,71.5,0.714285714285714
Majdalouna,23326,16.9285714285714,93.0,0.714285714285714
Ouardaniyeh,23331,16.6746031746032,93.0,0.587301587301587
Joun,23336,17.5460317460317,72.333333,0.780952380952381
Mghairiyeh Ech-Chouf,23341,18.0,93.0,0.659863945578231
Deir El-Moukhalles Ech-Chouf,23346,20.2176870748299,83.5,0.857142857142857
Qreiaa,23351,19.7619047619048,93.0,0.746031746031746
Bkifa Ech-Chouf,23356,21.5952380952381,93.0,0.571428571428571
Mazmoura,23361,21.7556461546482,93.0,0.562084771082659
Mtolleh,23365,23.0634920634921,93.0,0.365079365079365
Mazraat Es-Dahr,23366,22.3412698412698,83.5,0.634920634920635
Khirbet Bisri,23371,22.952380952381,83.5,0.619047619047619
Jleiliyeh,23376,22.1190476190476,93.0,0.547619047619048
Zaarouriyeh,23381,21.9285714285714,93.0,0.535714285714286
Bsaba Ech-Chouf,23386,24.1825396825397,93.0,0.380952380952381
Beit Ed-Dine,23411,26.9404761904762,93.0,0.464285714285714
Deir El-Qamar,23413,26.2640692640693,93.0,0.497835497835498
Kfar Hamal,23415,26.7429529172598,93.0,0.559361342987134
Semqaniyeh,23417,27.5238095238095,93.0,0.285714285714286
Kfar Qatra,23419,27.8730158730159,93.0,0.666666666666667
Maasser Beit Ed-Dine,23421,27.8952380952381,93.0,0.380952380952381
Bchtfine,23423,25.7142857142857,83.0,2.0
Kneisset Ech-Chouf,23425,27.9657583236466,83.0,1.68259807473328
Aammiq Ech-Chouf,23427,28.1190476190476,83.0,2.59523809523809
Deir Koucheh,23429,26.6666666666667,83.0,1.77777777777778
Mazraat Ed-Douair,23431,27.9848980842338,93.0,1.50991697167509
Kfar Faqoud,23433,25.0952380952381,83.0,1.55555555555556
Deir Baba,23435,23.7142857142857,83.0,2.23809523809524
Sirjbal,23437,23.4285714285714,93.0,1.5
GHabet Jaafar,23438,24.2340928338189,93.0,0.826175890780373
Kfar Him,23439,22.7857142857143,93.0,1.26190476190476
Ouadi Ed-Deir,23441,23.4632000182371,93.0,1.36860714390001
Ouadi Es-Sitt,23443,28.2181815111643,93.0,1.51556030091112
Majdel El-Meouch,23445,28.452380952381,83.0,1.25396825396825
Dmit,23447,23.1587301587302,83.0,1.6984126984127
Faouarat Jaafar,23449,28.1912391623247,93.0,1.32533826679256
Biret Ech-Chouf,23451,28.1071428571429,83.0,0.535714285714286
Chourit,23453,28.8092651166992,83.0,1.1973711160058
Kfar hay,23454,28.7920288135161,83.0,1.40027837421692
Kfar Niss,23455,28.2380952380952,83.0,0.365079365079365
Bqaiaa Ech-Chouf,23457,21.5714285714286,93.0,1.9047619047619
Brih,23459,27.7142857142857,93.0,0.761904761904762
Moughayret Ech-Chouf,23461,20.5714285714286,93.0,2.26190476190476
Ouarhaniyeh,23463,27.984126984127,93.0,0.206349206349206
Fraudis Ech-Chouf,23467,28.7579365079365,53.0,0.0753968253968254
Aain Zhalta,23469,29.1174603174603,59.666667,0.0920634920634921
