ADM3_NAME,CODE_NEW,composite_score,coping1_pred,coping2_pred,coping3_pred,coping4_pred,coping5_pred,coping6_pred,coping7_pred,coping8_pred,coping9_pred,coping10_pred,coping11_pred,coping12_pred,coping97_pred,coping98_pred,coping99_pred,coping14_pred,CODE_min,CODE_max,ADM1_NAME_max,MOHAFAZA_1_max,ADM2_NAME_max
Qornet Chehouane,506090,0.0573135896749028,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Qornet El-Hamra,506091,0.0797966456787216,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Abou Mizane,506014,0.0589483147265369,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Qleiaat Kesrouane,505069,0.0507391478811541,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,Kesrouane
Balloune,505010,0.0536456361149396,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,Kesrouane
Zabbougha,506095,0.0425114047709588,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Kfar Dibiane,505049,0.059321090500301,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,Kesrouane
Qornet El-Hamra,506091,0.0797966456787216,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Kfar Aaqab,506057,0.0313162104122805,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Kfar Aaqab,506057,0.0313162104122805,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Jaaita,505041,0.0662264282878728,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"05","05",Mount Lebanon,5,Kesrouane
Baabdat,506017,0.0631288253634214,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Nabay,506082,0.0806606949364584,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Broummana El-Matn,506029,0.0781523863654231,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Baabdat,506017,0.0631288253634214,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Nabay,506082,0.0806606949364584,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Nabay,506082,0.0806606949364584,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Bhersaf,506024,0.0864044066756978,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
RoumiT,506092,0.0635987492955116,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Bhersaf,506024,0.0864044066756978,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Mar Moussa Ed-Douar,506067,0.0728821078222779,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Mtain,506079,0.124288673741366,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Mchaa Kfar Dibiane,505062,0.0602533578002897,false,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,"02","05",Mount Lebanon,5,Zahle
Mtain,506079,0.124288673741366,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Mtain,506079,0.124288673741366,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Mtain,506079,0.124288673741366,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Mtain,506079,0.124288673741366,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Khinchara,506061,0.0612266497539342,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,"05","05",Mount Lebanon,5,El Metn
Mtain,506079,0.124288673741366,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Mtain,506079,0.124288673741366,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Mtain,506079,0.124288673741366,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
Choueir,506036,0.0589942169426326,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,"05","05",Mount Lebanon,5,El Metn
